Entry	Entry name	Status	Protein names	Gene names	Gene names  (primary )	Gene names  (ORF )
B6K256	B6K256_SCHJY	unreviewed	Kinase (EC 2.7.-.-)	SJAG_02321		SJAG_02321
B6K1J9	B6K1J9_SCHJY	unreviewed	Uncharacterized protein	SJAG_02928		SJAG_02928
B6K4S9	B6K4S9_SCHJY	unreviewed	Glycine cleavage system H protein	SJAG_03641		SJAG_03641
B6JXX1	B6JXX1_SCHJY	unreviewed	RNA lariat debranching enzyme Dbr1	SJAG_01433		SJAG_01433
B6K2R0	B6K2R0_SCHJY	unreviewed	RNA metabolism pathway protein Pet127	SJAG_02526		SJAG_02526
B6K8F7	B6K8F7_SCHJY	unreviewed	Retrotrans_gag domain-containing protein	SJAG_05050		SJAG_05050
B6JVP2	B6JVP2_SCHJY	unreviewed	GTP-binding protein	SJAG_00457		SJAG_00457
B6JYJ8	B6JYJ8_SCHJY	unreviewed	Translation initiation factor eIF2B gamma subunit	SJAG_01659		SJAG_01659
B6JVL2	B6JVL2_SCHJY	unreviewed	Phosphatidate cytidylyltransferase (EC 2.7.7.41)	SJAG_00426		SJAG_00426
B6K7K3	B6K7K3_SCHJY	unreviewed	Membrane transporter	SJAG_04717		SJAG_04717
B6JVA3	B6JVA3_SCHJY	unreviewed	Mannan endo-1,6-alpha-mannosidase (EC 3.2.1.101)	SJAG_00310		SJAG_00310
B6K363	B6K363_SCHJY	unreviewed	NatB N-acetyltransferase complex non catalytic subunit Arm1	SJAG_03045		SJAG_03045
B6K453	B6K453_SCHJY	unreviewed	V-type proton ATPase proteolipid subunit	SJAG_03406		SJAG_03406
B6JZ20	B6JZ20_SCHJY	unreviewed	Membrane transporter	SJAG_01842		SJAG_01842
B6K634	B6K634_SCHJY	unreviewed	U1 snRNP-associated protein Usp107	SJAG_04163		SJAG_04163
B6K2A4	B6K2A4_SCHJY	unreviewed	U3 snoRNP-associated protein Imp3	SJAG_02372		SJAG_02372
B6K0I5	B6K0I5_SCHJY	unreviewed	SAGA complex subunit/TATA-binding protein associated factor/transcription factor TFIID complex subunit Taf5	SJAG_02541		SJAG_02541
B6K2F5	B6K2F5_SCHJY	unreviewed	Nucleoporin Seh1	SJAG_02424		SJAG_02424
B6JXF9	B6JXF9_SCHJY	unreviewed	Cell wall protein Pwp1	SJAG_01086		SJAG_01086
B6K4F2	B6K4F2_SCHJY	unreviewed	Eukaryotic protein implicated in cell cycle regulation	SJAG_03508		SJAG_03508
B6K3P8	B6K3P8_SCHJY	unreviewed	Peptidyl-prolyl cis-trans isomerase (PPIase) (EC 5.2.1.8)	SJAG_03238		SJAG_03238
T0RSW0	T0RSW0_SCHJY	unreviewed	Uncharacterized protein (Fragment)	SJAG_06614		SJAG_06614
B6JZM8	B6JZM8_SCHJY	unreviewed	DNA-directed RNA polymerases I, II, and III subunit RPABC3	SJAG_02070		SJAG_02070
B6K385	B6K385_SCHJY	unreviewed	Protein YOP1	SJAG_05289		SJAG_05289
B6JVI6	B6JVI6_SCHJY	unreviewed	Actin-like protein Arp1	SJAG_00397		SJAG_00397
B6K3Z3	B6K3Z3_SCHJY	unreviewed	Adaptor protein Ste4	SJAG_03340		SJAG_03340
B6K713	B6K713_SCHJY	unreviewed	Glutathione gamma-glutamylcysteinyltransferase (EC 2.3.2.15)	SJAG_04516		SJAG_04516
B6K886	B6K886_SCHJY	unreviewed	E3 ubiquitin-protein ligase PEP5 (EC 2.3.2.27)	SJAG_04966		SJAG_04966
B6K5K9	B6K5K9_SCHJY	unreviewed	Zinc knuckle TRAMP complex subunit Air1	SJAG_03984		SJAG_03984
B6JZ61	B6JZ61_SCHJY	unreviewed	STE/STE20/PAKA protein kinase	SJAG_01885		SJAG_01885
B6JY25	B6JY25_SCHJY	unreviewed	Sporulation specific protein Spo2	SJAG_01483		SJAG_01483
B6K0J7	B6K0J7_SCHJY	unreviewed	RNA-binding protein Scw1	SJAG_02554		SJAG_02554
B6K5R6	B6K5R6_SCHJY	unreviewed	FAD binding protein	SJAG_04042		SJAG_04042
B6K209	B6K209_SCHJY	unreviewed	Nucleoporin Nsp1	SJAG_02274		SJAG_02274
B6K5C3	B6K5C3_SCHJY	unreviewed	Protein phosphatase 2C Ptc3	SJAG_03893		SJAG_03893
B6JUR5	B6JUR5_SCHJY	unreviewed	Helicase ATP-binding domain-containing protein	SJAG_05173		SJAG_05173
B6K2S1	B6K2S1_SCHJY	unreviewed	Uncharacterized protein	SJAG_03719		SJAG_03719
B6K7V1	B6K7V1_SCHJY	unreviewed	Catalase	SJAG_04823		SJAG_04823
B6JVJ9	B6JVJ9_SCHJY	unreviewed	Arginine specific carbamoyl-phosphate synthase Arg4	SJAG_00412		SJAG_00412
B6K7A9	B6K7A9_SCHJY	unreviewed	Uncharacterized protein	SJAG_04617		SJAG_04617
B6K5H7	B6K5H7_SCHJY	unreviewed	MatE family transporter	SJAG_03951		SJAG_03951
B6JV89	B6JV89_SCHJY	unreviewed	Neuronal calcium sensor Ncs1-like protein	SJAG_00296		SJAG_00296
B6K542	B6K542_SCHJY	unreviewed	Membrane transporter (Fragment)	SJAG_03808		SJAG_03808
B6K6F1	B6K6F1_SCHJY	unreviewed	Protein DOM34 homolog (EC 3.1.-.-)	SJAG_04283		SJAG_04283
B6K750	B6K750_SCHJY	unreviewed	Wiskott-Aldrich syndrome binding protein Lsb1	SJAG_04554		SJAG_04554
B6JWT5	B6JWT5_SCHJY	unreviewed	Ribosomal protein subunit S10	SJAG_00860		SJAG_00860
B6JYG5	B6JYG5_SCHJY	unreviewed	Uncharacterized protein	SJAG_01627		SJAG_01627
B6K714	B6K714_SCHJY	unreviewed	Clathrin light chain	SJAG_04517		SJAG_04517
B6JVN5	B6JVN5_SCHJY	unreviewed	Protein N-terminal glutamine amidohydrolase (EC 3.5.1.122) (Protein NH2-terminal glutamine deamidase)	SJAG_00450		SJAG_00450
B6JXX8	B6JXX8_SCHJY	unreviewed	Zn(2)-C6 fungal-type domain-containing protein	SJAG_05234		SJAG_05234
B6JWQ5	B6JWQ5_SCHJY	unreviewed	Fungal protein	SJAG_00834		SJAG_00834
B6K1K7	B6K1K7_SCHJY	unreviewed	Pheromone-regulated membrane protein	SJAG_02118		SJAG_02118
B6JX98	B6JX98_SCHJY	unreviewed	ATP-binding cassette transporter abc1	SJAG_05213		SJAG_05213
B6K1F7	B6K1F7_SCHJY	unreviewed	Elongation of fatty acids protein (EC 2.3.1.199) (Very-long-chain 3-oxoacyl-CoA synthase)	SJAG_02885		SJAG_02885
B6K4K1	B6K4K1_SCHJY	unreviewed	CDP-diacylglycerol synthase (EC 2.7.7.41) (Phosphatidate cytidylyltransferase, mitochondrial)	SJAG_03563		SJAG_03563
B6JYR9	B6JYR9_SCHJY	unreviewed	BAG family molecular chaperone regulator Bag102	SJAG_01737		SJAG_01737
B6K0N6	B6K0N6_SCHJY	unreviewed	Argonaute binding protein 1	SJAG_02594		SJAG_02594
B6K2L5	B6K2L5_SCHJY	unreviewed	Coatomer subunit delta	SJAG_02482		SJAG_02482
B6K6D5	B6K6D5_SCHJY	unreviewed	Haloacid dehalogenase-like hydrolase	SJAG_04264		SJAG_04264
B6K5G2	B6K5G2_SCHJY	unreviewed	RNA-binding protein	SJAG_03937		SJAG_03937
B6JYK4	B6JYK4_SCHJY	unreviewed	Myosin II regulatory light chain Rlc1	SJAG_01665		SJAG_01665
B6JZU3	B6JZU3_SCHJY	unreviewed	Golgi apparatus membrane protein TVP38 (Golgi apparatus membrane protein tvp38)	SJAG_01133		SJAG_01133
B6K2P7	B6K2P7_SCHJY	unreviewed	Histone H4	SJAG_02513		SJAG_02513
B6JVB2	B6JVB2_SCHJY	unreviewed	tRNA pseudouridine synthase Pus2	SJAG_00319		SJAG_00319
B6JWS8	B6JWS8_SCHJY	unreviewed	Exosomal 3'-5' exoribonuclease	SJAG_00854		SJAG_00854
B6K149	B6K149_SCHJY	unreviewed	Checkpoint clamp complex protein Rad1	SJAG_02771		SJAG_02771
B6K827	B6K827_SCHJY	unreviewed	General amino acid permease GAP1	SJAG_04903		SJAG_04903
B6JY60	B6JY60_SCHJY	unreviewed	Phospholipase (EC 3.1.4.4)	SJAG_01519		SJAG_01519
B6JXU9	B6JXU9_SCHJY	unreviewed	RNA-binding protein	SJAG_01412		SJAG_01412
B6JXT1	B6JXT1_SCHJY	unreviewed	F-box protein Pof5	SJAG_01392		SJAG_01392
B6K4P9	B6K4P9_SCHJY	unreviewed	Stress-associated endoplasmic reticulum protein	SJAG_03611		SJAG_03611
B6K6R2	B6K6R2_SCHJY	unreviewed	Ran GAP Rna1	SJAG_04400		SJAG_04400
B6K7I1	B6K7I1_SCHJY	unreviewed	Nicotinamide riboside kinase	SJAG_04693		SJAG_04693
B6K692	B6K692_SCHJY	unreviewed	DUF2009 protein	SJAG_04220		SJAG_04220
B6K184	B6K184_SCHJY	unreviewed	Eukaryotic protein	SJAG_05280		SJAG_05280
B6K2Z8	B6K2Z8_SCHJY	unreviewed	Seryl-tRNA synthetase (EC 6.1.1.11) (Seryl-tRNA(Ser/Sec) synthetase)	SJAG_02977		SJAG_02977
B6K1Z6	B6K1Z6_SCHJY	unreviewed	Aspartic protease Sxa1	SJAG_02260		SJAG_02260
B6K3U1	B6K3U1_SCHJY	unreviewed	Meiotically upregulated Mug99	SJAG_03282		SJAG_03282
B6K7T9	B6K7T9_SCHJY	unreviewed	C-14 sterol reductase Erg24	SJAG_04810		SJAG_04810
B6K7I4	B6K7I4_SCHJY	unreviewed	Kinetochore protein Mis15	SJAG_04696		SJAG_04696
B6JWZ2	B6JWZ2_SCHJY	unreviewed	Uncharacterized protein	SJAG_00917		SJAG_00917
B6K414	B6K414_SCHJY	unreviewed	Thiamine diphosphokinase (EC 2.7.6.2)	SJAG_03362		SJAG_03362
B6JYM0	B6JYM0_SCHJY	unreviewed	GATA-type domain-containing protein	SJAG_05242		SJAG_05242
B6JY46	B6JY46_SCHJY	unreviewed	Acetate transporter	SJAG_01505		SJAG_01505
B6K553	B6K553_SCHJY	unreviewed	Hexose transporter Ght8	SJAG_03820		SJAG_03820
B6K2X5	B6K2X5_SCHJY	unreviewed	Alpha-galactosidase (EC 3.2.1.22) (Melibiase)	SJAG_02949		SJAG_02949
B6JVV5	B6JVV5_SCHJY	unreviewed	2-oxoadipate and 2-oxoglutarate transporter	SJAG_00522		SJAG_00522
B6K229	B6K229_SCHJY	unreviewed	5'-methylthioribulose-1-phosphate dehydratase	SJAG_02293		SJAG_02293
B6K5Q6	B6K5Q6_SCHJY	unreviewed	Ferrichrome synthetase Sib1	SJAG_04031		SJAG_04031
B6K8G5	B6K8G5_SCHJY	unreviewed	CCHC-type domain-containing protein	SJAG_05118		SJAG_05118
B6K316	B6K316_SCHJY	unreviewed	Eukaryotic translation initiation factor 3 subunit D (eIF3d)	SJAG_02995		SJAG_02995
B6K0L0	B6K0L0_SCHJY	unreviewed	App1 protein	SJAG_02566		SJAG_02566
B6K7H5	B6K7H5_SCHJY	unreviewed	rRNA processing protein Rrp12-like protein	SJAG_04687		SJAG_04687
B6JZ81	B6JZ81_SCHJY	unreviewed	U3 snoRNP-associated protein Utp3	SJAG_01907		SJAG_01907
B6K1P2	B6K1P2_SCHJY	unreviewed	Uncharacterized protein	SJAG_02153		SJAG_02153
B6K452	B6K452_SCHJY	unreviewed	Zf-FYVE type zinc finger protein	SJAG_03405		SJAG_03405
B6JZV0	B6JZV0_SCHJY	unreviewed	COX assembly mitochondrial protein	SJAG_01140		SJAG_01140
B6JVE7	B6JVE7_SCHJY	unreviewed	Sterol binding ankyrin repeat protein	SJAG_00355		SJAG_00355
B6JYV3	B6JYV3_SCHJY	unreviewed	Rho family GTPase Rho4	SJAG_01774		SJAG_01774
B6K633	B6K633_SCHJY	unreviewed	Uridine diphosphate-N-acetylglucosamine transporter Hut1	SJAG_04162		SJAG_04162
B6K4N2	B6K4N2_SCHJY	unreviewed	mRNA cleavage and polyadenylation specificity factor complex subunit Rna14	SJAG_03594		SJAG_03594
B6JYP2	B6JYP2_SCHJY	unreviewed	Transcription factor BYE1	SJAG_01707		SJAG_01707
B6K5G7	B6K5G7_SCHJY	unreviewed	Histone H2A	SJAG_03942		SJAG_03942
B6JW65	B6JW65_SCHJY	unreviewed	Ornithine carbamoyltransferase Arg3	SJAG_00635		SJAG_00635
B6K1T2	B6K1T2_SCHJY	unreviewed	Protection of telomeres protein 1	SJAG_02194		SJAG_02194
B6JV90	B6JV90_SCHJY	unreviewed	Mediator of RNA polymerase II transcription subunit 4 (Mediator complex subunit 4)	MED4 SJAG_00297	MED4	SJAG_00297
B6JZQ5	B6JZQ5_SCHJY	unreviewed	Autophagy associated lipase Atg15	SJAG_02100		SJAG_02100
B6K6L8	B6K6L8_SCHJY	unreviewed	Transcription elongation factor 1 homolog	SJAG_04353		SJAG_04353
B6JUR6	B6JUR6_SCHJY	unreviewed	CAMK/CAMKL/MARK protein kinase	SJAG_00004		SJAG_00004
B6K395	B6K395_SCHJY	unreviewed	Uncharacterized protein	SJAG_03078		SJAG_03078
B6K1C3	B6K1C3_SCHJY	unreviewed	Dynamin Dnm1	SJAG_02848		SJAG_02848
B6K167	B6K167_SCHJY	unreviewed	Phosphoserine aminotransferase (EC 2.6.1.52)	SJAG_02791		SJAG_02791
B6K7W8	B6K7W8_SCHJY	unreviewed	Pyruvate decarboxylase	SJAG_04842		SJAG_04842
B6K3E6	B6K3E6_SCHJY	unreviewed	WD repeat protein (Fragment)	SJAG_03130		SJAG_03130
B6K4Y2	B6K4Y2_SCHJY	unreviewed	Ribosome biogenesis protein	SJAG_03697		SJAG_03697
B6K5J4	B6K5J4_SCHJY	unreviewed	CMGC/CDK/CRK7 protein kinase Lsk1	SJAG_03967		SJAG_03967
B6K4G4	B6K4G4_SCHJY	unreviewed	Phosphatidylserine decarboxylase proenzyme 1, mitochondrial (EC 4.1.1.65) [Cleaved into: Phosphatidylserine decarboxylase 1 beta chain; Phosphatidylserine decarboxylase 1 alpha chain]	PSD1 SJAG_03524	PSD1	SJAG_03524
B6K7J9	B6K7J9_SCHJY	unreviewed	Uracil phosphoribosyltransferase	SJAG_04713		SJAG_04713
B6JVI8	B6JVI8_SCHJY	unreviewed	MCM-associated protein Mcm10	SJAG_00399		SJAG_00399
B6K053	B6K053_SCHJY	unreviewed	Alkaline phosphatase	SJAG_01241		SJAG_01241
B6K0B8	B6K0B8_SCHJY	unreviewed	Ubiquitin carboxy terminal hydrolase Ubp11	SJAG_01312		SJAG_01312
B6K1U5	B6K1U5_SCHJY	unreviewed	Phenylalanyl-tRNA synthetase beta subunit (EC 6.1.1.20)	SJAG_02206		SJAG_02206
B6JVP9	B6JVP9_SCHJY	unreviewed	Pyruvate carboxylase (EC 6.4.1.1)	SJAG_00464		SJAG_00464
B6K017	B6K017_SCHJY	unreviewed	Uncharacterized protein	SJAG_01206		SJAG_01206
B6K2H6	B6K2H6_SCHJY	unreviewed	Heterotrimeric G protein alpha-2 subunit Gpa2	SJAG_02444		SJAG_02444
B6JVU1	B6JVU1_SCHJY	unreviewed	Translation initiation factor eIF4E	SJAG_00507		SJAG_00507
B6K091	B6K091_SCHJY	unreviewed	Cysteine protease (EC 3.4.22.-)	SJAG_01283		SJAG_01283
B6K821	B6K821_SCHJY	unreviewed	60S ribosomal protein L20	SJAG_04897		SJAG_04897
B6K6G0	B6K6G0_SCHJY	unreviewed	Uncharacterized protein	SJAG_04291		SJAG_04291
B6JXH9	B6JXH9_SCHJY	unreviewed	Medial ring protein Mid2	SJAG_00118		SJAG_00118
B6JXF1	B6JXF1_SCHJY	unreviewed	Methyltransferase Rrg1	SJAG_01079		SJAG_01079
B6K2E4	B6K2E4_SCHJY	unreviewed	Uncharacterized protein	SJAG_02412		SJAG_02412
B6JXS2	B6JXS2_SCHJY	unreviewed	Pyridoxal kinase (EC 2.7.1.35)	SJAG_01383		SJAG_01383
B6K4G8	B6K4G8_SCHJY	unreviewed	Cation diffusion family zinc membrane transporter Zrg17	SJAG_03528		SJAG_03528
B6K6Y1	B6K6Y1_SCHJY	unreviewed	Spermidine synthase	SJAG_04481		SJAG_04481
B6JXU8	B6JXU8_SCHJY	unreviewed	60S acidic ribosomal protein Rpp1-1	SJAG_01411		SJAG_01411
B6JZZ6	B6JZZ6_SCHJY	unreviewed	Nuclear pore protein	SJAG_01185		SJAG_01185
B6K7Q6	B6K7Q6_SCHJY	unreviewed	Translation initiation factor eIF4A	SJAG_04772		SJAG_04772
B6JYL7	B6JYL7_SCHJY	unreviewed	Ran GTPase binding protein	SJAG_01678		SJAG_01678
B6K2C1	B6K2C1_SCHJY	unreviewed	NLI interacting factor family phosphatase	SJAG_02389		SJAG_02389
B6JZE7	B6JZE7_SCHJY	unreviewed	Flo11 domain-containing protein	SJAG_01985		SJAG_01985
B6K5W8	B6K5W8_SCHJY	unreviewed	Fungal protein	SJAG_04093		SJAG_04093
B6K1U9	B6K1U9_SCHJY	unreviewed	Uncharacterized protein	SJAG_05259		SJAG_05259
B6JZB1	B6JZB1_SCHJY	unreviewed	Sad1 interacting factor 1	SJAG_01940		SJAG_01940
B6K6B0	B6K6B0_SCHJY	unreviewed	1,4-alpha-D-glucan glucanohydrolase (EC 3.2.1.1)	SJAG_04238		SJAG_04238
B6K5T0	B6K5T0_SCHJY	unreviewed	Suppressor 3 family protein	SJAG_04056		SJAG_04056
B6JVI9	B6JVI9_SCHJY	unreviewed	Ribonuclease H2 subunit B (Ribonuclease HI subunit B)	SJAG_00400		SJAG_00400
B6K330	B6K330_SCHJY	unreviewed	Eukaryotic translation initiation factor 6 (eIF-6)	TIF6 SJAG_03012	TIF6	SJAG_03012
B6K8G0	B6K8G0_SCHJY	unreviewed	ATP-dependent DNA helicase	SJAG_05353		SJAG_05353
B6K312	B6K312_SCHJY	unreviewed	RNA helicase (EC 3.6.4.13)	SJAG_02991		SJAG_02991
B6JY95	B6JY95_SCHJY	unreviewed	Hsp70-like protein	SJAG_01556		SJAG_01556
B6JWI3	B6JWI3_SCHJY	unreviewed	General transcription and DNA repair factor IIH	SJAG_00758		SJAG_00758
B6K4C6	B6K4C6_SCHJY	unreviewed	Protein phosphatase 2C Ptc2	SJAG_03482		SJAG_03482
T0RT79	T0RT79_SCHJY	unreviewed	Double-strand break repair protein	SJAG_05373		SJAG_05373
B6K879	B6K879_SCHJY	unreviewed	DUF1212 family protein	SJAG_04957		SJAG_04957
B6K5Q0	B6K5Q0_SCHJY	unreviewed	Mago-nashi	SJAG_04025		SJAG_04025
B6K045	B6K045_SCHJY	unreviewed	CDP-diacylglycerol--serine O-phosphatidyltransferase (EC 2.7.8.8) (Phosphatidylserine synthase)	SJAG_01233		SJAG_01233
B6K7X7	B6K7X7_SCHJY	unreviewed	Mannan endo-1,6-alpha-mannosidase (EC 3.2.1.101)	SJAG_04851		SJAG_04851
B6JVD7	B6JVD7_SCHJY	unreviewed	Ribosome biogenesis protein Tsr1	SJAG_00344		SJAG_00344
B6K2T6	B6K2T6_SCHJY	unreviewed	Uncharacterized protein	SJAG_05307		SJAG_05307
B6K888	B6K888_SCHJY	unreviewed	Protein phosphatase regulatory subunit Sds22	SJAG_04968		SJAG_04968
B6K7Z9	B6K7Z9_SCHJY	unreviewed	Obg-like ATPase 1	SJAG_04874		SJAG_04874
B6K0M2	B6K0M2_SCHJY	unreviewed	Phosphoprotein phosphatase	SJAG_02580		SJAG_02580
B6K4I0	B6K4I0_SCHJY	unreviewed	Fungal protein	SJAG_03541		SJAG_03541
B6K2Q9	B6K2Q9_SCHJY	unreviewed	TRAPP complex subunit Trs33	SJAG_02525		SJAG_02525
B6JYC2	B6JYC2_SCHJY	unreviewed	Transcription factor Rdp1	SJAG_01583		SJAG_01583
B6JWL9	B6JWL9_SCHJY	unreviewed	ATPase synthesis protein 25	SJAG_00797		SJAG_00797
B6K4H4	B6K4H4_SCHJY	unreviewed	Glucosidase 2 subunit beta (Glucosidase II subunit beta)	SJAG_03535		SJAG_03535
B6JUS4	B6JUS4_SCHJY	unreviewed	Fungal protein	SJAG_00049		SJAG_00049
B6JY69	B6JY69_SCHJY	unreviewed	Ubiquitin carboxy terminal hydrolase Ubp2	SJAG_01528		SJAG_01528
B6K104	B6K104_SCHJY	unreviewed	Complexed with Cdc5 protein Cwf11	SJAG_02722		SJAG_02722
B6K6X1	B6K6X1_SCHJY	unreviewed	Eukaryotic protein	SJAG_04471		SJAG_04471
B6K3M4	B6K3M4_SCHJY	unreviewed	RNA-binding protein Prp24	SJAG_03214		SJAG_03214
B6K447	B6K447_SCHJY	unreviewed	Vacuolar amino acid efflux transporter Avt3	SJAG_03400		SJAG_03400
B6K1Q5	B6K1Q5_SCHJY	unreviewed	Sec3-PIP2_bind domain-containing protein	SJAG_02166		SJAG_02166
B6K8H0	B6K8H0_SCHJY	unreviewed	Uncharacterized protein	SJAG_05154		SJAG_05154
B6K0S4	B6K0S4_SCHJY	unreviewed	tRNA (adenine(58)-N(1))-methyltransferase non-catalytic subunit TRM6	SJAG_02637		SJAG_02637
B6JXN1	B6JXN1_SCHJY	unreviewed	SNARE Tgl1	SJAG_00171		SJAG_00171
B6K5T9	B6K5T9_SCHJY	unreviewed	tRNA pseudouridine synthase	SJAG_04065		SJAG_04065
B6JZK0	B6JZK0_SCHJY	unreviewed	Tubulin specific chaperone cofactor B	SJAG_02040		SJAG_02040
B6K8B4	B6K8B4_SCHJY	unreviewed	Co-chaperone for ATPase activity	SJAG_04991		SJAG_04991
B6K644	B6K644_SCHJY	unreviewed	DUF3210 family protein	SJAG_04172		SJAG_04172
B6JUZ8	B6JUZ8_SCHJY	unreviewed	5-aminolevulinate synthase (EC 2.3.1.37) (5-aminolevulinic acid synthase) (Delta-ALA synthase) (Delta-aminolevulinate synthase)	SJAG_00097		SJAG_00097
B6JWB8	B6JWB8_SCHJY	unreviewed	RNA polymerase I transcription factor subunit Rrn11	SJAG_00692		SJAG_00692
B6K413	B6K413_SCHJY	unreviewed	Rho GDP dissociation inhibitor Rdi1	SJAG_03361		SJAG_03361
B6K0N3	B6K0N3_SCHJY	unreviewed	Cullin 1	SJAG_02591		SJAG_02591
T0T6P1	T0T6P1_SCHJY	unreviewed	COX assembly mitochondrial protein	SJAG_05398		SJAG_05398
B6JZ64	B6JZ64_SCHJY	unreviewed	Glucan 1,3-beta-glucosidase Exg2	SJAG_01888		SJAG_01888
B6K1P1	B6K1P1_SCHJY	unreviewed	Membrane transporter	SJAG_02152		SJAG_02152
B6JV35	B6JV35_SCHJY	unreviewed	Protein kinase activator Mob2	SJAG_00236		SJAG_00236
B6JZ26	B6JZ26_SCHJY	unreviewed	Uncharacterized protein	SJAG_01849		SJAG_01849
B6JVC2	B6JVC2_SCHJY	unreviewed	Fungal protein	SJAG_00329		SJAG_00329
B6K259	B6K259_SCHJY	unreviewed	Ribosomal protein subunit S16	SJAG_02324		SJAG_02324
B6K2Y5	B6K2Y5_SCHJY	unreviewed	Flavonol reductase/cinnamoyl-CoA reductase family protein	SJAG_02960		SJAG_02960
B6JYS3	B6JYS3_SCHJY	unreviewed	Translation initiation factor eIF3 alpha subunit	SJAG_01741		SJAG_01741
B6JWF6	B6JWF6_SCHJY	unreviewed	Fasciclin domain-containing protein	SJAG_00732		SJAG_00732
B6JYF7	B6JYF7_SCHJY	unreviewed	N-acetyltransferase domain-containing protein	SJAG_01619		SJAG_01619
B6JY67	B6JY67_SCHJY	unreviewed	Tubulin specific chaperone cofactor C	SJAG_01526		SJAG_01526
B6K5L1	B6K5L1_SCHJY	unreviewed	Nucleoporin Nup131	SJAG_03986		SJAG_03986
B6K5S4	B6K5S4_SCHJY	unreviewed	Membrane associated protein Pal1	SJAG_04050		SJAG_04050
B6K0Q1	B6K0Q1_SCHJY	unreviewed	Spindle pole body component	SJAG_02609		SJAG_02609
B6JWB4	B6JWB4_SCHJY	unreviewed	Uncharacterized protein	SJAG_00688		SJAG_00688
B6JVB5	B6JVB5_SCHJY	unreviewed	U2 snRNP-associated protein Sap145	SJAG_00322		SJAG_00322
B6JV22	B6JV22_SCHJY	unreviewed	ZIP zinc transporter 1	SJAG_00222		SJAG_00222
B6K8E8	B6K8E8_SCHJY	unreviewed	Sulfite reductase Sir1	SJAG_05027		SJAG_05027
B6K2V3	B6K2V3_SCHJY	unreviewed	STE/STE11 protein kinase Mkh1	SJAG_03753		SJAG_03753
B6K710	B6K710_SCHJY	unreviewed	Protein transport protein BOS1	SJAG_04513		SJAG_04513
B6K360	B6K360_SCHJY	unreviewed	RITS complex subunit 3	SJAG_03042		SJAG_03042
B6JW18	B6JW18_SCHJY	unreviewed	Transcription factor tfiiic complex subunit sfc6	SJAG_00585		SJAG_00585
B6K1P7	B6K1P7_SCHJY	unreviewed	Acetyltransferase component of pyruvate dehydrogenase complex (EC 2.3.1.12)	SJAG_02158		SJAG_02158
B6K2M9	B6K2M9_SCHJY	unreviewed	D-amino acid oxidase	SJAG_02496		SJAG_02496
B6JZQ8	B6JZQ8_SCHJY	unreviewed	SNARE Bet1	SJAG_02103		SJAG_02103
B6JZE4	B6JZE4_SCHJY	unreviewed	ESCRT I complex subunit Vps23	SJAG_01981		SJAG_01981
B6K6W5	B6K6W5_SCHJY	unreviewed	NAK protein kinase Ppk29	SJAG_04465		SJAG_04465
Q8HMZ0	Q8HMZ0_SCHJY	unreviewed	ATP synthase subunit a	atp6	atp6	
B6JY01	B6JY01_SCHJY	unreviewed	Arginosuccinase	SJAG_01461		SJAG_01461
B6K1V0	B6K1V0_SCHJY	unreviewed	Nucleoporin Nup44	SJAG_02210		SJAG_02210
B6JW09	B6JW09_SCHJY	unreviewed	Intermembrane space protein sorting protein	SJAG_00576		SJAG_00576
B6K3K2	B6K3K2_SCHJY	unreviewed	Zf-CCCH type zinc finger protein	SJAG_03191		SJAG_03191
B6K145	B6K145_SCHJY	unreviewed	Uncharacterized protein	SJAG_02767		SJAG_02767
T0TB29	T0TB29_SCHJY	unreviewed	Uncharacterized protein	SJAG_06383		SJAG_06383
B6K0H1	B6K0H1_SCHJY	unreviewed	60S ribosomal protein L14	SJAG_01364		SJAG_01364
B6K1B1	B6K1B1_SCHJY	unreviewed	Ribosomal protein subunit L39	SJAG_02836		SJAG_02836
B6K313	B6K313_SCHJY	unreviewed	19S proteasome regulatory subunit Rpn10	SJAG_02992		SJAG_02992
B6K1G2	B6K1G2_SCHJY	unreviewed	60S ribosomal protein L14	SJAG_02890		SJAG_02890
B6K4A9	B6K4A9_SCHJY	unreviewed	Prefoldin subunit 1	SJAG_03463		SJAG_03463
B6JVH3	B6JVH3_SCHJY	unreviewed	60S ribosomal protein L19	SJAG_00384		SJAG_00384
B6K5C9	B6K5C9_SCHJY	unreviewed	Autophagy-related protein	SJAG_03899		SJAG_03899
B6JVG1	B6JVG1_SCHJY	unreviewed	Plasma membrane proteolipid Pmp3	SJAG_00372		SJAG_00372
B6K0X2	B6K0X2_SCHJY	unreviewed	ATP-dependent DNA helicase (EC 3.6.4.12)	SJAG_02690		SJAG_02690
B6JYA8	B6JYA8_SCHJY	unreviewed	Fungal protein	SJAG_01569		SJAG_01569
B6K7M1	B6K7M1_SCHJY	unreviewed	Iron ion transporter	SJAG_04737		SJAG_04737
B6K7C9	B6K7C9_SCHJY	unreviewed	General amino acid permease GAP1	SJAG_04637		SJAG_04637
B6K6B3	B6K6B3_SCHJY	unreviewed	Inorganic phosphate transporter	SJAG_04241		SJAG_04241
T0S346	T0S346_SCHJY	unreviewed	Uncharacterized protein	SJAG_05872		SJAG_05872
B6K0R3	B6K0R3_SCHJY	unreviewed	YTH family protein Mmi1	SJAG_02622		SJAG_02622
B6K0V8	B6K0V8_SCHJY	unreviewed	Uncharacterized protein	SJAG_02675		SJAG_02675
