SJAG_05269	SPAC8C9.09c
SJAG_03719	SPCC23B6.02c
SJAG_02039	SPAC4G9.02
SJAG_02036	SPAC4G9.05
SJAG_01085	SPCC1322.09
SJAG_00632	SPAC4G9.13c
SJAG_01067	SPCC338.17c
SJAG_00693	SPBC725.16
SJAG_01069	SPCC338.15
SJAG_00629	SPAC4G9.16c
SJAG_00748	SPAC4G9.16c
SJAG_04940	SPBC651.01c
SJAG_00628	SPAC4G9.17c
SJAG_01070	SPCC338.14
SJAG_01077	SPCC338.10c
SJAG_00626	SPAC4G9.20c
SJAG_04938	SPBC651.03c
SJAG_00624	SPAC13G7.01c
SJAG_01076	SPCC338.08
SJAG_04937	SPBC651.04
SJAG_04059	SPAC13G7.05
SJAG_02916	SPCC1281.01
SJAG_03943	SPCC1281.06c
SJAG_01848	SPBC31A8.01c
SJAG_01846	SPBC3D6.02
SJAG_00955	SPAC6C3.09
SJAG_04883	SPBC3D6.05
SJAG_00956	SPAC17G8.01c
SJAG_04882	SPBC3D6.06c
SJAG_00958	SPAC17G8.03c
SJAG_03674	SPCC11E10.04
SJAG_02256	SPBC30B4.02c
SJAG_04370	SPBC27B12.01c
SJAG_03508	SPBC27B12.04c
SJAG_03505	SPBC27B12.07
SJAG_04099	SPAC17G8.05
SJAG_02168	SPAC17G8.11c
SJAG_00336	SPBC8D2.03c
SJAG_01788	SPAC22H10.02
SJAG_03546	SPBC8D2.07c
SJAG_03680	SPCC11E10.08
SJAG_02672	SPAC22H10.10
SJAG_03548	SPBC8D2.10c
SJAG_00239	SPCC188.09c
SJAG_03826	SPCC188.09c
SJAG_01975	SPCC188.09c
SJAG_03550	SPBC8D2.12c
SJAG_03687	SPCC188.11
SJAG_03688	SPCC188.12
SJAG_03555	SPBC8D2.17
SJAG_03558	SPBC8D2.20c
SJAG_01155	SPBC17A3.02
SJAG_01695	SPCC584.03c
SJAG_01694	SPCC584.02
SJAG_01154	SPBC17A3.03c
SJAG_01696	SPCC584.04
SJAG_01160	SPBC17A3.05c
SJAG_01163	SPBC17A3.08
SJAG_01164	SPBC17A3.09c
SJAG_04645	SPCC162.08c
SJAG_01169	SPBP22H7.02c
SJAG_04644	SPCC162.07
SJAG_01021	SPCC777.07
SJAG_04693	SPBP22H7.06
SJAG_01018	SPCC777.10c
SJAG_03080	SPBC32H8.05
SJAG_04996	SPAC6B12.12
SJAG_01039	SPCC777.13
SJAG_05000	SPAC6B12.15
SJAG_01041	SPCC777.15
SJAG_03048	SPBC11B10.09
SJAG_05004	SPAC32A11.01
SJAG_00363	SPCC663.11
SJAG_05005	SPAC32A11.02c
SJAG_02730	SPCC1902.01
SJAG_02731	SPCC417.02
SJAG_05007	SPAC19A8.15
SJAG_05009	SPAC19A8.13
SJAG_02736	SPCC417.06c
SJAG_03043	SPBC83.02c
SJAG_02510	SPBC83.02c
SJAG_03037	SPBC83.04
SJAG_03038	SPBC83.05
SJAG_00278	SPBC83.09c
SJAG_05011	SPAC19A8.11c
SJAG_00272	SPBC83.14c
SJAG_02093	SPCC1450.09c
SJAG_00269	SPBC83.17
SJAG_03248	SPAC19A8.03
SJAG_03246	SPAC19A8.01c
SJAG_00268	SPBC83.18c
SJAG_02498	SPCC1450.11c
SJAG_02765	SPAC23H3.03c
SJAG_02484	SPCC1442.03
SJAG_00919	SPBC27.01c
SJAG_02501	SPCC1442.05c
SJAG_00917	SPBC27.03
SJAG_02447	SPAC23H3.10
SJAG_05302	SPCC1442.15c
SJAG_02446	SPAC23H3.11c
SJAG_02482	SPCC285.08
SJAG_02444	SPAC23H3.13c
SJAG_04326	SPBC21B10.08c
SJAG_02443	SPAC23H3.14
SJAG_01585	SPCC285.11
SJAG_04315	SPBC21B10.06c
SJAG_02441	SPAC25H1.03
SJAG_01315	SPBC19C2.01
SJAG_02432	SPAC4A8.04
SJAG_02429	SPAC4A8.07c
SJAG_01313	SPBC19C2.03
SJAG_01584	SPCC285.13c
SJAG_01312	SPBC19C2.04c
SJAG_02749	SPCC285.15c
SJAG_03373	SPBC19C2.07
SJAG_01310	SPBC19C2.07
SJAG_02748	SPCC285.16c
SJAG_01308	SPBC19C2.08
SJAG_01300	SPBC19C2.15c
SJAG_05349	SPAC4A8.09c
SJAG_01298	SPBC2F12.14c
SJAG_04972	SPAC4A8.11c
SJAG_02747	SPCC285.17
SJAG_04969	SPAC4A8.13c
SJAG_01194	SPCC1223.05c
SJAG_03326	SPCC1223.05c
SJAG_03487	SPCC297.04c
SJAG_04970	SPAC4A8.14
SJAG_03490	SPCC737.02c
SJAG_02216	SPCC737.04
SJAG_04982	SPAC4A8.15c
SJAG_05224	SPBC2F12.12c
SJAG_04981	SPAC4A8.16c
SJAG_03494	SPCC737.06c
SJAG_01728	SPBC2F12.11c
SJAG_03496	SPCC737.08
SJAG_01727	SPBC2F12.10
SJAG_04980	SPAC823.03
SJAG_01725	SPBC2F12.09c
SJAG_04986	SPAC823.11
SJAG_02312	SPBC2F12.07c
SJAG_00034	SPBC2F12.07c
SJAG_04956	SPAC7D4.11c
SJAG_04952	SPAC7D4.06c
SJAG_04498	SPAC4F8.13c
SJAG_03501	SPCC74.03c
SJAG_04490	SPAC4F8.02c
SJAG_01720	SPBC2F12.03c
SJAG_04489	SPAC4F8.01
SJAG_04410	SPCC18.09c
SJAG_04487	SPAC644.05c
SJAG_01400	SPAPB2B4.04c
SJAG_01717	SPBC1D7.04
SJAG_04848	SPCC18.13
SJAG_04846	SPCC18.15
SJAG_04843	SPCC18.18c
SJAG_05229	SPAC6F6.01
SJAG_01389	SPAC6F6.05
SJAG_01132	SPAC6F6.07c
SJAG_01387	SPAC6F6.07c
SJAG_01385	SPAC6F6.09
SJAG_01380	SPAC6F6.19
SJAG_01373	SPAC1805.05
SJAG_01716	SPBC1D7.03
SJAG_01370	SPAC1805.08
SJAG_03470	SPBC11G11.07
SJAG_03183	SPCC290.04
SJAG_03402	SPBC18H10.17c
SJAG_01360	SPAC1805.15c
SJAG_03630	SPCC1739.05
SJAG_01359	SPAC1805.16c
SJAG_04519	SPBC9B6.11c
SJAG_01192	SPCC1739.06c
SJAG_01357	SPAC1B2.02c
SJAG_05033	SPCC1739.08c
SJAG_04521	SPBC28E12.02
SJAG_04522	SPBC28E12.03
SJAG_01352	SPAC3F10.03
SJAG_01187	SPCC1739.12
SJAG_04055	SPCC1739.13
SJAG_01186	SPCC1739.13
SJAG_01431	SPACUNK4.11c
SJAG_04136	SPCPB1C11.01
SJAG_04524	SPBC28E12.05
SJAG_04297	SPCC576.01c
SJAG_04472	SPCC576.05
SJAG_04477	SPCC576.10c
SJAG_04455	SPBC3H7.13
SJAG_01362	SPAPB24D3.08c
SJAG_02151	SPAPB24D3.08c
SJAG_02466	SPCC576.13
SJAG_04277	SPAPB24D3.09c
SJAG_03079	SPAPB1A11.01
SJAG_05372	SPCC126.02c
SJAG_00086	SPCC126.05c
SJAG_05189	SPAC31G5.02
SJAG_01988	SPCC126.11c
SJAG_06256	SPCC1620.03
SJAG_04452	SPBC3H7.10
SJAG_03811	SPCC1620.06c
SJAG_04450	SPBC3H7.08c
SJAG_01734	SPBC3H7.04
SJAG_00092	SPCC1620.12c
SJAG_00093	SPCC1620.11
SJAG_02901	SPAC31G5.14
SJAG_03789	SPCC830.03
SJAG_04611	SPBP16F5.05c
SJAG_03793	SPCC830.06
SJAG_04610	SPBP16F5.06
SJAG_03799	SPCC1919.01
SJAG_01772	SPAC16A10.03c
SJAG_04609	SPBP16F5.07
SJAG_01771	SPAC16A10.02
SJAG_04608	SPBP16F5.08c
SJAG_04603	SPBC16E9.03c
SJAG_03531	SPBC16E9.05
SJAG_04599	SPBC16E9.10c
SJAG_01774	SPAC16A10.04
SJAG_03802	SPCC1919.03c
SJAG_03012	SPCC1919.09
SJAG_03526	SPBC16E9.16c
SJAG_01782	SPAC589.06c
SJAG_01819	SPCC1840.10
SJAG_02253	SPAC589.10c
SJAG_01226	SPAC589.10c
SJAG_01817	SPCC965.03
SJAG_01227	SPAC589.12
SJAG_00179	SPCC965.07c
SJAG_03525	SPBC16E9.17c
SJAG_03523	SPBC1E8.02
SJAG_04652	SPCC1494.04c
SJAG_03522	SPBC1E8.03c
SJAG_04651	SPCC1494.05c
SJAG_05180	SPAC688.06c
SJAG_04649	SPCC1494.07
SJAG_03562	SPBC1A4.02c
SJAG_04420	SPCC1494.09c
SJAG_00152	SPAC688.11
SJAG_03570	SPBC1A4.08c
SJAG_03868	SPAC688.13
SJAG_03574	SPBP23A10.03c
SJAG_04837	SPAC3G9.16c
SJAG_00949	SPCC1827.05c
SJAG_02952	SPCC1827.05c
SJAG_02396	SPBP23A10.12
SJAG_00234	SPCC1827.06c
SJAG_02734	SPAC3G9.11c
SJAG_04842	SPAC3G9.11c
SJAG_02400	SPBC29A3.02c
SJAG_04052	SPCP1E11.02
SJAG_03179	SPAC3G9.10c
SJAG_01637	SPBC29A3.03c
SJAG_00540	SPBC29A3.08
SJAG_03626	SPAC3G9.06
SJAG_04049	SPCP1E11.05c
SJAG_00541	SPBC29A3.09c
SJAG_04178	SPBC18E5.02c
SJAG_04177	SPBC18E5.03c
SJAG_04174	SPBC18E5.06
SJAG_03624	SPAC3G9.04
SJAG_03198	SPAC3G9.02
SJAG_04640	SPBC18E5.11c
SJAG_04639	SPBC18E5.10
SJAG_04824	SPCC757.08
SJAG_01117	SPBC23G7.05
SJAG_05257	SPBC23G7.11
SJAG_02125	SPBC23G7.13c
SJAG_01128	SPBC23G7.15c
SJAG_02871	SPBC23G7.15c
SJAG_01125	SPBC1711.05
SJAG_04825	SPCC757.09c
SJAG_05573	SPBC1711.18
SJAG_00629	SPCC613.06
SJAG_00748	SPCC613.06
SJAG_00753	SPCC613.08
SJAG_01121	SPBC1711.08
SJAG_01137	SPBC1711.13
SJAG_00754	SPCC613.09
SJAG_03302	SPAC1486.02c
SJAG_03299	SPAC1486.05
SJAG_00469	SPBC17G9.06c
SJAG_03297	SPAC1486.07c
SJAG_02077	SPBC14C8.02
SJAG_04322	SPAC6G10.02c
SJAG_02073	SPBC14C8.19
SJAG_04363	SPAC6G10.09
SJAG_04364	SPAC6G10.10c
SJAG_02068	SPBC14C8.15
SJAG_02066	SPBC14C8.17c
SJAG_00756	SPCC613.12c
SJAG_00583	SPBC21H7.04
SJAG_04829	SPCC330.07c
SJAG_00586	SPBC21H7.06c
SJAG_00747	SPCC330.08
SJAG_00592	SPBC21H7.07c
SJAG_04035	SPCC330.11
SJAG_02252	SPAC6G10.12c
SJAG_01837	SPCC320.13c
SJAG_00597	SPBC16H5.10c
SJAG_01840	SPCC320.10
SJAG_02250	SPAC6G9.02c
SJAG_01841	SPCC320.09
SJAG_00598	SPBC16H5.09c
SJAG_01936	SPCC1235.03
SJAG_01937	SPCC1235.04c
SJAG_02246	SPAC6G9.06c
SJAG_03922	SPAC6G9.09c
SJAG_02243	SPAC6G9.09c
SJAG_00600	SPBC16H5.07c
SJAG_02242	SPAC6G9.10c
SJAG_01926	SPCC1235.09
SJAG_02231	SPBC24C6.08c
SJAG_01925	SPCC1235.10c
SJAG_04053	SPAPB1E7.09
SJAG_02217	SPBC19G7.07c
SJAG_03034	SPAPB1E7.12
SJAG_03859	SPAPB1E7.12
SJAG_02210	SPBC19G7.15
SJAG_01924	SPCC1235.11
SJAG_02208	SPBC19G7.17
SJAG_03032	SPAC2E1P5.01c
SJAG_03031	SPAC2E1P5.02c
SJAG_00175	SPBC36B7.03
SJAG_03030	SPAC2E1P5.03
SJAG_03608	SPCC548.07c
SJAG_00171	SPBC36B7.07
SJAG_02262	SPAC26A3.03c
SJAG_02144	SPCC794.03
SJAG_00166	SPBC1921.01c
SJAG_04414	SPBC1921.01c
SJAG_02283	SPAC26A3.04
SJAG_04897	SPAC26A3.04
SJAG_02158	SPCC794.07
SJAG_02277	SPAC26A3.10
SJAG_04930	SPCC794.08
SJAG_00177	SPBC1921.02
SJAG_02275	SPAC26A3.12c
SJAG_02176	SPCC794.12c
SJAG_04090	SPCC553.06
SJAG_02268	SPAC8E11.04c
SJAG_02619	SPCC553.03
SJAG_04907	SPAC959.10
SJAG_04092	SPCC736.08
SJAG_04091	SPCC736.09c
SJAG_01593	SPAP32A8.03c
SJAG_01566	SPAC3H5.11
SJAG_03424	SPAC3H5.05c
SJAG_01548	SPAC3H5.05c
SJAG_00184	SPBC1921.07c
SJAG_01544	SPAC3A11.12c
SJAG_00185	SPBC21D10.12
SJAG_01541	SPAC3A11.09
SJAG_04725	SPBC12C2.13c
SJAG_02621	SPCC736.11
SJAG_02848	SPBC12C2.08
SJAG_01534	SPAC328.01c
SJAG_02624	SPCC736.14
SJAG_04479	SPBC12C2.05c
SJAG_01326	SPCC594.04c
SJAG_01761	SPCC1682.03c
SJAG_04459	SPBC12C2.03c
SJAG_00764	SPCC1682.12c
SJAG_04461	SPBC17F3.02
SJAG_01528	SPAC328.06
SJAG_00768	SPCC306.03c
SJAG_00521	SPAC16E8.01
SJAG_04462	SPBC17F3.01c
SJAG_00770	SPCC306.05c
SJAG_04463	SPBC557.02c
SJAG_00518	SPAC16E8.04c
SJAG_01754	SPCC306.09c
SJAG_04464	SPBC557.03c
SJAG_01755	SPCC306.11
SJAG_00514	SPAC16E8.09
SJAG_01052	SPCC4G3.14
SJAG_01202	SPBC365.03c
SJAG_00155	SPBC365.03c
SJAG_00509	SPAC16E8.13
SJAG_01051	SPCC4G3.13c
SJAG_01201	SPBC365.04c
SJAG_01524	SPAC16E8.17c
SJAG_01049	SPCC4G3.10c
SJAG_01200	SPBC365.05c
SJAG_01582	SPAC1B1.02c
SJAG_01047	SPCC4G3.08
SJAG_02962	SPAC17A2.01
SJAG_03652	SPAC17A2.01
SJAG_01046	SPCC4G3.07c
SJAG_03843	SPBC365.06
SJAG_00205	SPAC17A2.07c
SJAG_02313	SPCC364.07
SJAG_03841	SPBC365.08c
SJAG_00206	SPAC17A2.08c
SJAG_02317	SPCC364.02c
SJAG_03840	SPBC365.09c
SJAG_02318	SPCC364.01
SJAG_03839	SPBC365.10
SJAG_02319	SPCC970.10c
SJAG_02321	SPCC970.08
SJAG_03133	SPCC970.05
SJAG_02121	SPCC970.05
SJAG_02575	SPAC17A2.12
SJAG_01784	SPBC365.14c
SJAG_05272	SPCC970.02
SJAG_04413	SPCC962.01
SJAG_03835	SPBC365.15
SJAG_04412	SPCC962.02c
SJAG_02576	SPAC17A2.13c
SJAG_00243	SPCC1672.05c
SJAG_03833	SPBC365.16
SJAG_03867	SPCC1672.10
SJAG_02591	SPAC17G6.12
SJAG_03864	SPCC1183.01
SJAG_04271	SPBC29A10.02
SJAG_04587	SPAC17G6.16c
SJAG_03863	SPCC1183.02
SJAG_04272	SPBC29A10.03c
SJAG_03862	SPCC1183.03c
SJAG_01497	SPAC1142.01
SJAG_01834	SPBC29A10.07
SJAG_02527	SPCC1183.05c
SJAG_01248	SPAC8C9.05
SJAG_03923	SPBC29A10.10c
SJAG_02532	SPCC1183.11
SJAG_02473	SPAC8C9.12c
SJAG_02470	SPAC8C9.16c
SJAG_02462	SPAC15A10.05c
SJAG_05248	SPCC31H12.04c
SJAG_02535	SPCC31H12.04c
SJAG_02536	SPCC31H12.05c
SJAG_03929	SPBC29A10.16c
SJAG_04626	SPAC15E1.03
SJAG_02602	SPBC25B2.02c
SJAG_04628	SPAC15E1.05c
SJAG_00659	SPBC25B2.04c
SJAG_04633	SPAC15E1.10
SJAG_00870	SPAP7G5.03
SJAG_00652	SPBC25B2.10
SJAG_04637	SPAP7G5.06
SJAG_00649	SPBC6B1.02
SJAG_02786	SPAC1F12.02c
SJAG_02790	SPAC1F12.06c
SJAG_00641	SPBC6B1.12c
SJAG_02791	SPAC1F12.07
SJAG_04567	SPBC3E7.02c
SJAG_03815	SPBC3E7.02c
SJAG_02540	SPCC31H12.08c
SJAG_02545	SPCC5E4.06
SJAG_02031	SPBC3E7.08c
SJAG_02798	SPAC4H3.02c
SJAG_02845	SPBC3E7.12c
SJAG_02865	SPAC1071.01c
SJAG_02843	SPBC3E7.14
SJAG_02841	SPBC3E7.16c
SJAG_02869	SPAC1071.06
SJAG_01129	SPAC1071.10c
SJAG_01669	SPAC1071.10c
SJAG_02836	SPBC4F6.08c
SJAG_01822	SPCC16C4.09
SJAG_02831	SPBC4F6.12
SJAG_03948	SPAC323.04
SJAG_02830	SPBC4F6.13c
SJAG_03949	SPAC323.05c
SJAG_02823	SPBC18A7.02c
SJAG_03950	SPAC323.06c
SJAG_03952	SPAC323.08
SJAG_02815	SPBC336.07
SJAG_04275	SPCPJ732.01
SJAG_03956	SPAC2F3.03c
SJAG_03963	SPAC2F3.10
SJAG_04281	SPCC18B5.04
SJAG_03971	SPAC11G7.04
SJAG_02891	SPAC11G7.04
SJAG_01365	SPAC11G7.04
SJAG_04282	SPCC18B5.05c
SJAG_02810	SPBC336.12c
SJAG_02807	SPBC336.15
SJAG_04874	SPAC27E2.03c
SJAG_04287	SPCC18B5.11c
SJAG_04877	SPAC27E2.05
SJAG_04290	SPCC14G10.03c
SJAG_01588	SPBC685.07c
SJAG_02802	SPBC685.07c
SJAG_04292	SPCC1020.13c
SJAG_01219	SPBC32F12.01c
SJAG_02182	SPAC27E2.10c
SJAG_01217	SPBC32F12.16
SJAG_04266	SPCC1020.09
SJAG_01214	SPBC32F12.05c
SJAG_02185	SPAPJ698.03c
SJAG_01209	SPBC32F12.10
SJAG_04263	SPCC1020.06c
SJAG_02187	SPAC19G12.02c
SJAG_01207	SPBC32F12.15
SJAG_02870	SPCC1393.03
SJAG_04256	SPCC1393.03
SJAG_01872	SPAC19G12.05
SJAG_04255	SPCC1393.04
SJAG_01206	SPBC32F12.12c
SJAG_04248	SPCC1393.09c
SJAG_01258	SPBC19C7.05
SJAG_01873	SPAC19G12.06c
SJAG_01259	SPBC19C7.06
SJAG_04246	SPCC1393.10
SJAG_04914	SPAC19G12.07c
SJAG_04245	SPCC1393.14
SJAG_01869	SPAC19G12.09
SJAG_04244	SPCC1393.11
SJAG_01868	SPAC19G12.10c
SJAG_01263	SPBC19C7.10
SJAG_04242	SPCC1393.13
SJAG_04240	SPCC2H8.04
SJAG_01866	SPAC19G12.11
SJAG_04237	SPCC63.03
SJAG_01264	SPBC19C7.12c
SJAG_04236	SPCC63.04
SJAG_04234	SPCC63.06
SJAG_04233	SPCC63.07
SJAG_04228	SPCC63.13
SJAG_01862	SPAC19G12.15c
SJAG_03832	SPBP4H10.06c
SJAG_04227	SPCC63.14
SJAG_03911	SPBP4H10.09
SJAG_04225	SPCC16A11.01
SJAG_03910	SPBP4H10.10
SJAG_01855	SPAC23A1.06c
SJAG_04220	SPCC16A11.03c
SJAG_03909	SPBP4H10.11c
SJAG_02206	SPAC23A1.12c
SJAG_05327	SPCC16A11.06c
SJAG_03568	SPBP4H10.13
SJAG_02682	SPBP4H10.13
SJAG_01632	SPBP4H10.13
SJAG_02202	SPAC23A1.17
SJAG_04218	SPCC16A11.09c
SJAG_04217	SPCC16A11.10c
SJAG_01625	SPBP4H10.20
SJAG_02197	SPAC26H5.04
SJAG_04215	SPCC16A11.12c
SJAG_01624	SPBP4H10.21c
SJAG_02193	SPAC26H5.07c
SJAG_01618	SPBC1703.05
SJAG_02192	SPAC26H5.08c
SJAG_04210	SPCC16A11.17
SJAG_00547	SPBC1703.13c
SJAG_04205	SPCC24B10.08c
SJAG_05194	SPBC1703.15c
SJAG_04200	SPCC24B10.13
SJAG_00550	SPBC2A9.03
SJAG_02978	SPAC25B8.05
SJAG_00554	SPBC2A9.06c
SJAG_02977	SPAC25B8.06c
SJAG_00555	SPBC2A9.07c
SJAG_02657	SPCPB16A4.02c
SJAG_04580	SPAC25B8.13c
SJAG_00557	SPBC2A9.08c
SJAG_01267	SPBC2A9.12
SJAG_03649	SPBC2D10.08c
SJAG_00786	SPCC1795.11
SJAG_01499	SPAC694.02
SJAG_00942	SPBC2D10.11c
SJAG_01500	SPAC694.03
SJAG_00785	SPCC1795.10c
SJAG_00935	SPBC2D10.16
SJAG_00778	SPCC1795.04c
SJAG_04672	SPAC694.05c
SJAG_04697	SPCC1795.03
SJAG_04700	SPCC895.03c
SJAG_04669	SPAC1F7.02c
SJAG_03533	SPCC895.09c
SJAG_06468	SPAC1F7.14c
SJAG_03534	SPCC825.01
SJAG_04677	SPAC1F7.08
SJAG_00872	SPCC1259.06
SJAG_03103	SPBC15D4.10c
SJAG_00864	SPCC1259.11c
SJAG_04740	SPAC2C4.05
SJAG_16453	SPBC13E7.01
SJAG_03112	SPBC13E7.02
SJAG_03876	SPAC2C4.07c
SJAG_03874	SPAC2C4.08
SJAG_01680	SPCC1259.13
SJAG_03113	SPBC13E7.03c
SJAG_02021	SPAC2C4.15c
SJAG_03116	SPBC13E7.06
SJAG_01140	SPCC4B3.20
SJAG_04749	SPAC25G10.03
SJAG_01141	SPCC4B3.17
SJAG_04748	SPAC25G10.04c
SJAG_03120	SPBC13E7.10c
SJAG_03123	SPBC30D10.17c
SJAG_00795	SPAC27F1.03c
SJAG_01149	SPCC4B3.08
SJAG_03063	SPBC30D10.14
SJAG_01013	SPAC23D3.06c
SJAG_04119	SPCC550.04c
SJAG_03070	SPBC30D10.06
SJAG_03696	SPCC550.14
SJAG_03701	SPCC645.03c
SJAG_03702	SPCC645.04
SJAG_03705	SPCC645.07
SJAG_01705	SPCC645.11c
SJAG_03720	SPCC23B6.03c
SJAG_03097	SPBC30D10.04
SJAG_03721	SPCC23B6.04c
SJAG_03094	SPBC1778.01c
SJAG_03722	SPCC23B6.05c
SJAG_03090	SPBC1778.04
SJAG_01089	SPCC1322.04
SJAG_03087	SPBC1778.07
SJAG_01073	SPCC1322.16
SJAG_03085	SPBC1778.09
SJAG_01071	SPCC338.13
SJAG_01072	SPCC338.12
SJAG_02918	SPCC338.05c
SJAG_03941	SPCC622.09
SJAG_03143	SPBC4C3.12
SJAG_03268	SPCC622.14
SJAG_03141	SPBC4C3.03
SJAG_01016	SPAC23D3.09
SJAG_03139	SPBC405.02c
SJAG_03135	SPBC405.06
SJAG_01033	SPAC23D3.12
SJAG_01032	SPAC23D3.16
SJAG_03676	SPCC11E10.05c
SJAG_01029	SPAC23D3.14c
SJAG_03131	SPBC609.02
SJAG_03678	SPCC11E10.07c
SJAG_01027	SPAC1527.02
SJAG_00485	SPCC11E10.09c
SJAG_03130	SPBC609.03
SJAG_01026	SPAC1527.03
SJAG_03682	SPCC188.03
SJAG_03153	SPBC776.04
SJAG_03157	SPBC776.09
SJAG_01025	SPAC30.01c
SJAG_02546	SPBC776.11
SJAG_03159	SPBC776.11
SJAG_00419	SPAC29E6.05c
SJAG_03161	SPBC776.13
SJAG_03163	SPBC776.15c
SJAG_03689	SPCC188.13c
SJAG_03618	SPBC776.18c
SJAG_01686	SPCC584.15c
SJAG_03619	SPBC21.01
SJAG_01698	SPCC1753.01c
SJAG_03786	SPAC9E9.09c
SJAG_03622	SPBC21.04
SJAG_05243	SPCC1753.05
SJAG_03785	SPAC9E9.12c
SJAG_04470	SPBC19F8.01c
SJAG_03709	SPCC162.10
SJAG_03781	SPAC17C9.14
SJAG_01748	SPBC19F8.03c
SJAG_01948	SPAC17C9.08
SJAG_03369	SPCC162.01c
SJAG_02908	SPBC25H2.13c
SJAG_01950	SPAC17C9.07
SJAG_01951	SPAC17C9.06
SJAG_01638	SPBC25H2.10c
SJAG_01955	SPAC17C9.02c
SJAG_01635	SPCC777.06c
SJAG_01642	SPBC25H2.06c
SJAG_01957	SPAC1851.02
SJAG_01020	SPCC777.08c
SJAG_01038	SPCC777.12c
SJAG_01332	SPBC20F10.04c
SJAG_04638	SPCC663.01c
SJAG_01331	SPBC20F10.05
SJAG_00137	SPAC637.04
SJAG_01328	SPBC20F10.08c
SJAG_01327	SPBC20F10.09
SJAG_02725	SPCC663.12
SJAG_04086	SPBC17D1.01
SJAG_02992	SPAC637.10c
SJAG_02729	SPCC1902.02
SJAG_04080	SPBC17D1.07c
SJAG_02991	SPAC637.11
SJAG_02990	SPAC637.12c
SJAG_01974	SPCC191.05c
SJAG_02989	SPAC637.13c
SJAG_02744	SPCC191.07
SJAG_01059	SPBC3B8.04c
SJAG_01063	SPBC3B8.01c
SJAG_00179	SPCC191.09c
SJAG_01900	SPAC12B10.01c
SJAG_00428	SPBC4B4.02c
SJAG_04301	SPCC191.11
SJAG_01897	SPAC12B10.04
SJAG_01870	SPBC4B4.05
SJAG_00057	SPBC4B4.08
SJAG_02288	SPAC1093.04c
SJAG_00060	SPBC4B4.11
SJAG_02286	SPAC1093.06c
SJAG_02500	SPCC1450.02
SJAG_02285	SPAC30C2.02
SJAG_00063	SPBC2G2.02
SJAG_00049	SPAC30C2.08
SJAG_02207	SPBC2G2.05
SJAG_04160	SPBC2G2.05
SJAG_02494	SPCC1450.05c
SJAG_00105	SPBC2G2.07c
SJAG_00111	SPAC144.05
SJAG_02496	SPCC1450.07c
SJAG_00041	SPAC144.15c
SJAG_02497	SPCC1450.10c
SJAG_02492	SPCC1450.12
SJAG_00039	SPAC144.17c
SJAG_03771	SPBC2G2.13c
SJAG_00338	SPAC1834.01
SJAG_02485	SPCC1442.02
SJAG_03773	SPBC2G2.15c
SJAG_00337	SPAC1834.02
SJAG_02502	SPCC1442.06
SJAG_02649	SPBC2G2.17c
SJAG_02504	SPCC1442.08c
SJAG_02651	SPBC1718.01
SJAG_00334	SPAC1834.05
SJAG_00300	SPBC1105.09
SJAG_00331	SPAC1834.08
SJAG_05303	SPCC1442.17c
SJAG_00336	SPBC1105.12
SJAG_00305	SPBC1105.15c
SJAG_00112	SPAC458.03
SJAG_02481	SPCC285.09c
SJAG_05240	SPCC285.12
SJAG_00307	SPBC1105.17
SJAG_00116	SPAC458.07
SJAG_00308	SPBC1105.18c
SJAG_02746	SPCC1223.01
SJAG_03498	SPCC74.09
SJAG_00126	SPAC1782.01
SJAG_03500	SPCC74.02c
SJAG_00081	SPAC1782.08c
SJAG_01587	SPCC74.06
SJAG_00312	SPBC887.04c
SJAG_04407	SPCC18.06c
SJAG_03780	SPBC887.14c
SJAG_03775	SPBC418.01c
SJAG_00082	SPAC1782.09c
SJAG_04179	SPBC418.02
SJAG_00252	SPCC18.10
SJAG_01978	SPAC11H11.04
SJAG_04845	SPCC18.16c
SJAG_04185	SPBC16D10.06
SJAG_03181	SPCC290.02
SJAG_03186	SPCC4F11.03c
SJAG_00129	SPAC22F8.05
SJAG_03189	SPCC1906.02c
SJAG_00128	SPAC22F8.06
SJAG_02663	SPBP8B7.11
SJAG_02667	SPBP8B7.14c
SJAG_00073	SPAC22F8.07c
SJAG_02668	SPBP8B7.15c
SJAG_02421	SPBP8B7.17c
SJAG_00323	SPAC22F8.09
SJAG_02413	SPBP8B7.25
SJAG_01944	SPAC20G4.01
SJAG_02409	SPBP8B7.28c
SJAG_01943	SPAC20G4.02c
SJAG_02405	SPBP8B7.31
SJAG_01942	SPAC20G4.03c
SJAG_00892	SPBC13G1.04c
SJAG_03025	SPAC20G4.06c
SJAG_03193	SPCC1739.03
SJAG_01188	SPCC1739.11c
SJAG_01199	SPCC576.03c
SJAG_04471	SPCC576.04
SJAG_04476	SPCC576.09
SJAG_03919	SPCC576.11
SJAG_04478	SPCC576.11
SJAG_00091	SPCC126.01c
SJAG_00088	SPCC126.03
SJAG_00896	SPBC13G1.08c
SJAG_01270	SPAC4F10.04
SJAG_00899	SPBC13G1.11
SJAG_01276	SPAC4F10.10c
SJAG_00901	SPBC13G1.13
SJAG_01278	SPAC4F10.12
SJAG_00905	SPBC31F10.05
SJAG_01732	SPAC4F10.15c
SJAG_00906	SPBC31F10.06c
SJAG_00907	SPBC31F10.07
SJAG_01293	SPAC4F10.18
SJAG_00087	SPCC126.04c
SJAG_05223	SPAC4F10.19c
